epoch,accuracy,loss,val_accuracy,val_loss
0,0.7289999723434448,0.8576055765151978,0.8700000047683716,0.2947046160697937
1,0.8339999914169312,0.4124443531036377,0.8199999928474426,0.42272013425827026
2,0.8679999709129333,0.32592469453811646,0.887499988079071,0.29269397258758545
3,0.8920000195503235,0.2710554897785187,0.8774999976158142,0.31180062890052795
4,0.9179999828338623,0.24354970455169678,0.9087499976158142,0.26334261894226074
5,0.9409999847412109,0.17864863574504852,0.8924999833106995,0.3067987561225891
6,0.9350000023841858,0.17023827135562897,0.8999999761581421,0.3226463794708252
7,0.9399999976158142,0.1420697122812271,0.8862500190734863,0.42196124792099
8,0.9459999799728394,0.1314578652381897,0.9112499952316284,0.303695410490036
9,0.9679999947547913,0.09820055216550827,0.9024999737739563,0.33034273982048035
